Region;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;4.468;4.508;4.550;4.646;4.708;4.664;4.735;4.849;4.879;4.900
Bulgaria;2.934;2.914;3.029;3.025;2.902;2.791;2.777;2.831;2.813;2.812
Czechia;4.913;4.995;5.071;5.124;5.126;5.066;5.046;4.996;4.865;4.981
Denmark;2.488;2.527;2.560;2.601;2.637;2.618;2.661;2.719;2.731;2.758
Germany;37.464;38.305;38.553;38.641;38.967;38.082;38.524;39.337;39.718;39.797
Estonia;606;606;618;620;625;613;611;629;646;645
Ireland;1.944;2.003;2.064;2.115;2.174;2.112;2.247;2.396;2.471;2.537
Greece;3.530;3.577;3.646;3.709;3.785;3.593;3.811;4.015;4.057;4.125
Spain;17.634;18.087;18.531;19.002;19.417;18.851;19.420;20.076;20.684;21.107
France;25.982;26.055;26.233;26.441;26.513;26.402;26.761;27.215;27.399;27.791
Croatia;1.513;1.508;1.525;1.534;1.545;1.530;1.545;1.565;1.575;1.639
Italy;21.557;21.858;22.064;22.227;22.337;21.632;21.760;22.298;22.702;23.028
Cyprus;348;352;368;387;409;413;426;446;459;466
Latvia;862;854;854;867;862;846;817;833;828;819
Lithuania;1.296;1.309;1.296;1.313;1.314;1.290;1.302;1.346;1.360;1.378
Luxembourg;251;257;267;275;284;287;299;305;313;315
Hungary;4.278;4.415;4.474;4.509;4.520;4.462;4.488;4.536;4.551;4.549
Malta;189;200;212;228;242;249;256;272;292;308
Netherlands;7.684;7.775;7.898;8.031;8.159;8.183;8.315;8.524;8.671;8.704
Austria;3.918;3.998;4.048;4.102;4.148;4.052;4.102;4.219;4.244;4.255
Poland;15.406;15.565;15.789;15.875;16.305;16.288;16.672;16.735;16.776;16.679
Portugal;4.204;4.276;4.432;4.544;4.582;4.489;4.571;4.698;4.789;4.850
Romania;7.298;7.349;7.540;7.581;7.638;7.547;7.625;7.686;7.568;7.724
Slovenia;883;888;924;943;953;948;946;956;960;968
Slovakia;2.466;2.532;2.564;2.593;2.609;2.556;2.516;2.554;2.553;2.554
Finland;2.269;2.284;2.303;2.361;2.378;2.350;2.388;2.435;2.440;2.421
Sweden;4.505;4.579;4.665;4.732;4.752;4.690;4.716;4.838;4.900;4.867
Iceland;162;167;172;176;180;175;175;187;196;204
Norway;2.455;2.467;2.475;2.512;2.534;2.527;2.536;2.585;2.599;2.609
Switzerland;4.152;4.204;4.237;4.276;4.321;4.320;4.321;4.364;4.433;4.460
Bosnia and Herzegovina;:;:;:;:;:;:;1.126;1.143;1.176;1.212
Montenegro;214;216;220;227;232;211;:;:;:;:
North Macedonia;690;708;728;743;783;778;:;:;:;:
Serbia;2.392;2.493;2.565;2.603;2.649;2.639;2.609;2.680;2.683;2.722
TÃ¼rkiye;24.407;24.981;25.905;26.395;25.847;24.941;26.705;28.378;29.066;29.745